CR_PNIM,locations_count
472,0
473,1
182,0
2710,0
31,3
2400,15
1020,0
565,0
2600,6
478,0
5565,0
5569,0
5545,0
41,0
1309,0
529,0
70,6
5538,0
7100,0
6000,0
5533,2
2530,1
9000,18
5566,0
482,0
4001,0
998,0
480,0
466,0
9200,0
2610,0
6100,13
1066,0
5541,1
9800,1
1326,0
944,0
483,0
5528,3
6200,2
1292,0
485,0
627,0
541,0
628,0
681,0
6300,0
2550,0
5532,0
5571,4
487,0
5530,1
166,0
5527,0
229,1
494,1
489,0
2200,2
490,0
492,0
5520,0
5508,0
5501,0
5503,0
9700,2
5554,0
6400,5
5512,0
9300,1
1290,0
975,0
5553,3
5529,0
5525,0
6500,3
6600,2
5536,0
5515,3
1303,0
496,0
4000,6
2034,0
1247,0
6700,3
962,0
498,0
2730,0
2720,0
2100,0
8900,0
1295,0
46,0
2660,0
9400,13
5535,1
29,0
499,0
240,0
831,0
3000,121
502,4
504,0
505,0
1224,1
1059,7
1296,0
978,0
633,0
1263,0
507,0
168,0
508,0
509,1
510,0
6900,3
634,0
654,0
267,0
47,0
1139,3
5518,0
1271,0
7000,1
5550,0
9984,0
9904,0
9932,0
9907,0
9924,0
9934,0
9926,0
9920,0
9971,0
9936,0
9903,0
9905,0
9930,1
9965,0
9968,0
9910,0
9940,0
9961,0
9944,0
9955,0
9928,0
9931,0
9923,0
9945,0
9917,0
9915,0
9962,0
9963,0
9958,0
9942,0
9973,0
9935,0
9972,0
9916,0
9959,0
9901,0
9919,0
9951,0
9911,0
9933,0
9938,0
9909,0
9902,0
9946,0
9929,0
9970,0
9906,0
9925,0
9941,0
9912,0
9964,1
9956,0
9967,0
9974,0
9913,0
9914,0
9950,0
9918,0
9922,0
9927,0
9939,0
9937,0
9969,0
9960,0
9975,0
1060,0
5555,0
1015,4
516,0
4201,0
481,0
481,0
65,2
874,17
1722,0
5513,0
1200,26
28,1
517,0
5504,0
5526,2
43,0
1268,0
5514,0
4203,0
518,0
5552,0
1327,0
1063,0
99,4
5502,0
5542,1
5556,9
520,0
1770,0
9100,2
5568,0
1061,1
5531,0
522,0
7200,1
7300,6
2500,0
246,3
246,0
7400,4
525,0
587,0
7500,0
666,1
534,0
530,0
511,0
532,0
4502,0
7600,2
5506,9
5507,0
5516,11
5509,3
5540,0
7700,19
531,0
2560,0
637,0
1192,0
537,0
535,0
536,0
7800,0
171,0
7900,4
8000,5
195,0
638,0
4100,0
2620,3
6800,0
6800,0
9500,0
2630,8
2300,0
9600,0
1137,13
8200,0
1034,1
469,3
2800,0
543,0
2640,0
26,0
8300,13
4501,0
1161,0
8400,24
542,0
922,0
8500,0
8600,6
2650,0
122,1
5548,0
8700,4
913,0
1286,0
5539,1
1031,0
1304,0
812,0
538,0
5537,0
5534,1
8800,0
5000,67
154,0
1054,0
5551,8
5519,1
5519,0
5519,1
9947,0
