id,muni_code,municipality_heb,sample_population,index_value_2015,ranking_2015,cluster_2015,ranking_2013,cluster_2013,cluster_difference_2013,municipality_eng
89,2100,____ ____,"19,317",-0.090,118,5,117,4,1,TIRAT KARMEL
236,530,_______,"5,471",-0.083,119,5,115,4,1,EILABUN
#N/A,3608,____ _____,"1,206",-0.065,120,5,121,5,0,MA'ALE EFRAYIM
40,6200,__ __,"128,639",-0.062,121,5,130,5,0,BAT YAM
246,7700,_____,"44,687",-0.046,122,5,129,5,0,AFULA
19,7100,______,"130,088",-0.038,123,5,127,5,0,ASHQELON
267,9600,_____ __,"39,134",-0.035,124,5,133,5,0,QIRYAT YAM
7,1020,___ _____,"17,081",-0.024,125,5,119,5,0,OR AQIVA
222,1061,____ _____,"40,077",0.004,127,5,137,5,0,NAZERAT ILLIT
272,2800,_____ _____,"23,055",0.016,128,5,131,5,0,QIRYAT SHEMONA
213,1063,_____-______,"21,180",0.022,130,5,134,5,0,MA'ALOT-TARSHIHA
197,65,____,"1,685",0.023,131,5,122,5,0,MIGDAL
#N/A,3557,______,"4,338",0.028,132,5,123,5,0,QEDUMIM
#N/A,3730,____ ___,"16,123",0.032,133,5,149,6,-1,GIV'AT ZE'EV
23,9000,___ ___,"201,814",0.034,134,5,136,5,0,BE'ER SHEVA
112,508,___ ___,"3,188",0.099,138,5,132,5,0,KAFAR KAMA
33,1066,"___ __""_","6,919",0.107,139,5,146,5,0,BENE AYISH
6,2400,___ _____,"36,068",0.171,142,6,143,5,1,OR YEHUDA
271,469,_____ _____,"10,718",0.182,143,6,140,5,1,QIRYAT EQRON
252,535,_____,"3,026",0.189,145,6,139,5,1,FASSUTA
230,7400,_____,"206,793",0.199,147,6,151,6,0,NETANYA
#N/A,3640,____ ______,"6,905",0.204,149,6,145,5,1,QARNE SHOMERON
293,812,_____,"6,099",0.214,150,6,142,5,1,SHELOMI
262,6800,_____ ___,"55,242",0.228,151,6,154,6,0,QIRYAT ATTA
75,6500,____,"88,257",0.265,152,6,155,6,0,HADERA
120,1139,______,"44,756",0.268,153,6,159,6,0,KARMI'EL
9,2600,____,"49,707",0.277,154,6,153,6,0,ELAT
#N/A,3616,____ ______,"37,424",0.342,157,6,156,6,0,MA'ALE ADUMMIM
51,487,_'_ (___ ___),"3,078",0.366,159,6,150,6,0,JISH (GUSH HALAV)
14,41,______,"3,424",0.379,160,6,152,6,0,ELYAKHIN
#N/A,3570,_____,"18,717",0.385,162,6,162,6,0,ARI'EL
220,9100,______,"54,305",0.393,163,6,167,6,0,NAHARIYYA
#N/A,3650,____,"8,301",0.425,164,6,169,6,0,EFRAT
76,6600,_____,"188,637",0.502,169,7,172,6,1,HOLON
264,9500,_____ ______,"39,018",0.513,170,7,176,7,0,QIRYAT BIALIK
81,4000,____,"277,736",0.529,171,7,188,7,0,HAIFA
93,2660,____,"42,314",0.554,173,7,168,6,1,YAVNE
269,8200,_____ ______,"40,160",0.566,175,7,178,7,0,QIRYAT MOTZKIN
210,518,______,"3,095",0.618,179,7,171,6,1,MI'ELYA
274,2640,___ ____,"42,575",0.638,180,7,177,7,0,ROSH HAAYIN
279,8400,______,"132,509",0.641,181,7,182,7,0,REHOVOT
256,7900,___ _____,"229,845",0.656,182,7,189,7,0,PETAH TIQWA
8,565,____,"12,095",0.660,183,7,185,7,0,AZOR
29,466,___ ___,"7,099",0.662,184,7,179,7,0,BET DAGAN
254,7800,____ ___-_____,"37,424",0.693,186,7,184,7,0,PARDES HANNA-KARKUR
48,2550,____,"25,821",0.695,187,7,190,7,0,GEDERA
227,2500,___,"23,419",0.711,189,7,196,7,0,NESHER
22,2530,___ ____,"18,273",0.735,191,7,180,7,0,BE'ER YA'AQOV
53,166,__ ____,"22,294",0.775,193,7,194,7,0,GAN YAVNE
98,240,_____ _____,"21,383",0.812,196,7,199,7,0,YOQNE'AM ILLIT
111,168,___ ____,"21,611",0.815,197,7,197,7,0,KEFAR YONA
275,26,___ ____,"2,908",0.825,199,7,195,7,0,ROSH PINNA
276,8300,_____ _____,"243,329",0.847,200,7,204,7,0,RISHON LEZIYYON
#N/A,3560,_____,"3,945",0.863,203,7,205,7,0,ELQANA
#N/A,3652,___ ____,"4,721",0.904,204,7,203,7,0,BET ARYE
94,9400,____,"29,145",1.017,207,8,207,8,0,YEHUD
283,8600,___ __,"152,112",1.053,208,8,208,8,0,RAMAT GAN
46,681,____ _____,"25,298",1.067,210,8,214,8,0,GIV'AT SHEMU'EL
206,43,_____,"1,614",1.082,212,8,219,8,0,METULA
192,1015,_____ ____,"24,295",1.101,213,8,212,8,0,MEVASSERET ZIYYON
96,29,____ _____,"1,644",1.148,215,8,210,8,0,YESUD HAMA'ALA
#N/A,3750,____ ____,"7,638",1.166,218,8,217,8,0,ALFE MENASHE
115,6900,___ ___,"96,509",1.176,219,8,221,8,0,KEFAR SAVA
69,9300,_____ ____,"22,347",1.187,221,8,224,8,0,ZIKHRON YA'AQOV
298,5000,__ ____-___,"431,708",1.208,222,8,223,8,0,TEL AVIV - YAFO
258,195,_____-____,"20,408",1.208,223,8,216,8,0,QADIMA-ZORAN
202,28,_____ ____,"12,698",1.251,224,8,222,8,0,MAZKERET BATYA
266,2300,_____ _____,"17,607",1.262,225,8,227,8,0,QIRYAT TIV'ON
287,8700,_____,"70,285",1.273,226,8,240,8,0,RA'ANNANA
67,6400,_______,"91,621",1.291,227,8,232,8,0,HERZLIYYA
#N/A,3760,______,"8,495",1.293,228,8,228,8,0,ORANIT
225,7200,__ _____,"46,535",1.309,230,8,225,8,0,NES ZIYYONA
201,1200,_______-_____-____,"88,748",1.336,231,8,231,8,0,MODI'IN-MAKKABBIM-RE'UT
35,9800,_______-____ ___,"14,550",1.339,232,8,226,8,0,BINYAMINA-GIV'AT ADA
55,229,___ _____,"16,042",1.358,233,8,229,8,0,GANNE TIQWA
119,47,___ ____,"3,796",1.370,234,8,235,8,0,KEFAR TAVOR
285,122,___ ___,"7,478",1.397,236,8,238,8,0,RAMAT YISHAY
299,154,__ ____,"11,941",1.403,237,8,237,8,0,TEL MOND
255,171,_______,"5,563",1.453,240,8,233,8,0,PARDESIYYA
47,6300,_______,"57,493",1.455,241,8,234,8,0,GIV'ATAYIM
65,9700,___ _____,"56,267",1.512,242,8,241,8,0,HOD HASHARON
261,2620,_____ ____,"37,714",1.519,243,8,242,8,0,QIRYAT ONO
3,182,___ _____,"13,125",1.535,244,8,244,8,0,EVEN YEHUDA
207,1268,____,"7,341",1.552,245,8,245,9,-1,METAR
109,1263,___ _____,"5,446",1.649,247,9,249,9,0,KEFAR WERADIM
292,1304,____,"20,403",1.674,248,9,247,9,0,SHOHAM
284,2650,___ _____,"44,340",1.724,249,9,248,9,0,RAMAT HASHARON
#N/A,3769,__ ___,"3,858",1.768,250,9,250,9,0,HAR ADAR
104,1224,____ ____,"9,054",1.863,251,9,251,9,0,KOKHAV YA'IR
234,666,____,"7,339",1.935,252,9,252,9,0,OMER
122,1271,_____,"6,442",2.005,253,9,253,9,0,LEHAVIM
118,267,___ ______,"1,785",2.522,254,10,254,10,0,KEFAR SHEMARYAHU
232,587,_____,"3,705",2.590,255,10,255,10,0,SAVYON
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
